Средняя,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,год
1967,-15.6,-14.3,-3.3,8.6,12.0,14.1,18.4,16.9,7.7,5.6,-1.3,-8.8,3.3
1968,-15.9,-10.5,-3.5,1.8,11.9,13.9,15.7,15.3,7.2,0.3,-8.8,-19.7,0.6
1969,-24.5,-17.0,-9.3,3.4,4.9,12.3,17.4,13.9,10.1,-2.5,-3.0,-15.8,-0.8
1970,-15.4,-9.3,-2.5,4.2,10.3,14.3,18.2,14.1,12.0,2.3,-8.0,-13.8,2.2
1971,-9.7,-17.0,-7.7,2.2,9.1,14.5,19.3,13.5,12.5,0.8,-0.3,-10.3,2.2
1972,-24.2,-12.6,-8.1,4.8,10.1,13.9,17.2,17.0,6.4,2.2,-5.3,-8.8,1.1
1973,-19.9,-11.5,-4.0,6.4,12.9,17.3,14.3,15.0,5.2,0.7,-4.0,-6.9,2.1
1974,-19.3,-13.4,-2.7,5.1,11.7,15.2,21.1,14.7,12.9,6.1,-7.3,-9.5,2.9
1975,-10.1,-12.4,-1.5,8.5,11.6,17.2,18.9,14.8,12.7,-0.4,-6.4,-10.2,3.6
1976,-12.2,-16.5,-7.2,5.8,11.5,18.2,15.9,16.8,9.2,-5.1,-7.9,-12.3,1.4
1977,-17.3,-15.1,-3.0,7.1,13.9,18.2,19.2,15.0,9.9,-1.5,,-13.3,3.0
1978,-8.9,-10.3,-0.7,2.2,9.3,15.2,16.3,13.2,9.4,1.4,-4.7,-17.4,2.1
1979,-16.4,-11.7,-2.9,-1.1,13.2,11.6,19.0,15.4,10.3,0.5,-4.9,-8.3,2.1
1980,-16.6,-13.7,-7.3,3.1,12.9,15.4,16.6,12.1,9.6,2.5,-6.0,-7.2,1.8
1981,-9.6,-7.9,-5.8,1.7,8.8,18.4,20.6,20.4,9.6,6.0,-3.3,-7.8,4.3
1982,-15.0,-13.8,-8.5,6.6,11.0,15.7,18.8,15.8,11.3,0.4,-3.1,-7.2,2.7
1983,-8.8,-8.3,-4.6,7.6,8.4,16.5,20.2,15.1,8.1,4.2,-4.6,-6.8,3.9
1984,-9.9,-11.5,-2.0,1.2,11.7,16.7,19.3,14.7,8.1,1.0,-12.6,-17.5,1.6
1985,-12.0,-17.1,-4.1,2.8,8.6,15.5,16.3,17.1,11.4,0.7,-7.0,-10.5,1.8
1986,-12.1,-14.9,-3.1,8.0,7.3,15.5,15.5,13.3,7.9,2.0,-5.1,-17.1,1.4
1987,-18.6,-8.6,-5.5,0.8,14.8,19.9,19.3,16.0,8.5,1.9,-11.3,-11.7,2.1
1988,-12.9,-9.8,-2.6,4.6,10.3,19.4,22.5,18.1,9.6,3.7,-7.0,-9.9,3.8
1989,-15.0,-9.8,-0.7,1.3,11.8,21.3,22.7,14.0,10.0,2.6,-4.3,-10.2,3.6
1990,-14.8,-7.1,-1.3,5.2,9.2,17.4,18.8,16.2,8.3,1.0,-5.1,-8.5,3.3
1991,-12.7,-11.4,-7.2,9.1,15.6,20.8,17.6,13.5,10.5,7.0,-3.1,-13.6,3.8
1992,-12.0,-9.2,-4.0,1.7,9.9,13.9,16.1,13.6,10.8,2.0,-5.4,-8.3,2.4
1993,-9.0,-12.1,-5.9,3.1,10.6,17.8,18.5,16.2,5.7,2.1,-13.3,-10.0,2.0
1994,-10.2,-17.7,-5.6,5.6,11.3,17.5,15.3,14.7,10.9,6.4,-7.1,-13.9,2.3
1995,-10.4,-4.5,-0.6,10.6,13.0,16.9,19.7,16.8,11.6,3.7,-3.8,-12.8,5.0
1996,-14.2,-11.3,-4.0,0.5,12.1,19.0,19.1,13.1,7.0,1.8,-2.4,-10.3,2.5
1997,-18.5,-9.5,-2.2,5.7,11.9,16.6,15.8,13.9,11.1,5.8,-7.4,-14.8,2.4
1998,-11.1,-14.9,-3.4,-1.5,11.7,18.4,21.5,17.5,8.2,3.4,-12.8,-7.2,2.5
1999,-13.6,-7.7,-7.8,5.1,9.1,15.2,20.2,15.3,9.8,6.8,-10.2,-5.9,3.0
2000,-11.7,-6.1,-1.2,7.1,8.2,18.9,20.5,15.2,8.6,2.2,-5.9,-11.4,3.7
2001,-11.1,-14.9,-3.5,6.8,13.1,14.3,17.8,15.1,10.5,0.4,-4.2,-12.2,2.7
2002,-8.1,-4.6,-1.1,3.3,9.1,14.1,19.0,13.1,10.8,2.0,-3.9,-18.5,2.9
2003,-10.8,-13.5,-3.7,4.6,12.5,15.1,18.9,20.5,11.2,4.7,-6.2,-5.4,4.0
2004,-9.3,-9.2,-3.6,0.0,14.9,16.9,21.3,15.9,10.6,2.0,-2.6,-13.6,3.6
2005,-11.2,-12.9,-6.2,6.2,14.3,15.8,19.2,,,,,,
